id,item,vowel,language,f1_cent,f2_cent,tl,f1_20,f1_35,f1_50,f1_65,f1_80,f2_20,f2_35,f2_50,f2_65,f2_80
akr,meet,i,en,262.84,2531.51,103.38,266.46,262.58,252.21,261.86,271.08,2504.70,2498.27,2537.07,2536.20,2581.29
akr,beat,i,en,245.30,2492.61,308.88,234.68,243.13,255.45,256.47,236.75,2452.17,2490.66,2586.62,2517.78,2415.80
akr,feet,i,en,253.93,1959.19,395.91,240.96,236.74,239.52,278.53,273.90,1978.53,2095.40,2001.21,1897.12,1823.69
akr,seat,i,en,265.86,2249.43,594.23,269.41,269.19,266.25,253.52,270.94,2347.08,2404.88,2408.65,2208.69,1877.87
akr,heat,i,en,282.08,2184.62,1280.90,253.19,271.66,284.57,296.07,304.89,2461.72,2428.95,2466.52,1609.68,1956.22
akr,fleet,i,en,266.67,2315.48,394.63,295.74,261.35,259.13,261.30,255.83,2072.74,2263.92,2362.37,2414.45,2463.93
akr,moss,a,en,581.40,1068.84,352.67,521.65,521.68,542.22,607.42,714.03,958.05,988.28,1030.91,1121.52,1245.47
akr,bot,a,en,689.25,1309.56,517.09,729.30,815.90,780.34,606.35,514.37,1188.46,1211.51,1327.76,1365.66,1454.44
akr,fought,a,en,648.01,1076.16,319.41,606.17,651.68,671.05,673.90,637.26,987.29,1005.14,1040.02,1081.38,1266.97
akr,sought,a,en,654.75,1074.58,220.96,632.30,651.55,661.01,664.04,664.85,1082.08,1043.37,1025.81,1038.40,1183.24
akr,caught,a,en,673.14,1170.94,241.64,688.72,695.55,695.63,677.90,607.91,1124.02,1102.74,1135.82,1194.14,1298.01
akr,brought,a,en,670.72,1043.90,100.88,657.89,684.26,676.82,663.86,670.79,1072.65,1060.21,1060.08,1027.46,999.11
akr,moot,u,en,265.14,1189.36,47.15,267.14,265.34,265.13,262.24,265.85,1173.51,1182.57,1189.56,1187.14,1214.04
akr,boot,u,en,292.99,1403.26,186.87,295.75,284.20,293.90,297.01,294.07,1408.59,1376.23,1362.74,1370.74,1498.01
akr,food,u,en,291.17,1421.37,444.51,299.36,299.11,295.87,295.79,265.71,1387.11,1307.39,1498.39,1527.66,1386.32
akr,soothe,u,en,274.02,1710.71,439.35,272.55,254.51,260.55,290.97,291.51,1539.53,1536.68,1871.35,1813.51,1792.50
akr,cooed,u,en,273.35,1383.04,155.44,257.12,286.18,282.28,276.57,264.60,1436.32,1416.63,1373.02,1329.45,1359.79
akr,dude,u,en,285.49,1526.06,468.05,301.50,289.86,293.91,273.20,268.96,1790.02,1640.52,1510.76,1364.81,1324.17
akr,mis,i,sp,262.02,1754.57,1253.85,278.64,248.36,303.06,237.91,242.13,2288.04,2171.80,2034.64,1109.79,1168.57
akr,bis,i,sp,233.75,1412.39,407.69,235.61,233.96,232.90,231.30,235.01,1375.76,1297.25,1352.17,1410.43,1626.36
akr,pis,i,sp,243.67,1831.15,908.50,254.26,245.20,239.75,233.70,245.45,1516.25,1531.58,1642.07,2043.93,2421.91
akr,cito,i,sp,244.36,2301.45,393.34,255.35,248.31,240.70,228.18,249.27,2356.36,2403.84,2355.25,2329.04,2062.76
akr,fito,i,sp,252.66,2340.85,962.87,261.00,254.95,250.16,248.66,248.52,2361.04,2398.07,2446.23,2607.35,1891.53
akr,quito,i,sp,287.72,1722.67,1419.46,301.85,304.85,296.94,274.99,259.96,2606.44,1999.93,1558.09,1259.43,1189.46
akr,mas,a,sp,779.50,1311.32,495.37,924.79,951.21,864.52,669.44,487.54,1300.91,1299.59,1303.39,1304.51,1348.18
akr,bas,a,sp,866.16,1322.12,463.76,855.79,850.52,777.99,969.17,877.33,1235.92,1270.07,1281.14,1350.99,1472.47
akr,pasa,a,sp,704.58,1325.11,251.17,796.18,700.43,663.70,646.56,716.05,1297.98,1312.45,1331.92,1314.40,1368.82
akr,sala,a,sp,690.80,1337.03,280.52,623.86,660.76,682.24,670.82,816.31,1402.14,1358.10,1323.94,1290.07,1310.91
akr,fama,a,sp,611.33,1156.18,818.25,718.78,583.93,490.51,607.91,655.50,1232.10,1106.83,915.29,1268.63,1258.07
akr,cama,a,sp,997.30,1290.64,252.06,1114.00,1042.92,1011.73,907.21,910.63,1361.67,1310.44,1311.82,1235.04,1234.22
akr,musa,u,sp,260.11,885.65,591.27,256.67,254.49,261.18,269.03,259.20,893.18,862.41,834.08,713.90,1124.67
akr,bulto,u,sp,246.88,1064.53,1585.31,249.79,249.53,247.15,241.19,246.74,751.48,712.83,1623.03,1074.03,1161.29
akr,puso,u,sp,295.89,1692.97,2525.88,284.41,283.56,288.70,285.89,336.90,1106.38,1828.48,2004.27,1301.17,2224.55
akr,supo,u,sp,254.34,1841.51,574.98,268.61,260.27,255.11,249.94,237.78,1847.52,1984.39,1706.77,1844.08,1824.81
akr,fumo,u,sp,240.76,851.87,746.86,255.53,255.34,238.00,230.33,224.60,454.68,1047.20,927.33,909.02,921.10
akr,cura,u,sp,275.59,992.06,217.31,246.71,248.35,269.19,292.63,321.06,933.93,923.87,944.00,1044.64,1113.84
